id,name,country_id
1,Berlin,1
2,Madrid,2
3,Paris,3
4,Rio de Janeiro,4
5,Buenos Aires,5
6,New York,6
7,Yaoundé,7
8,Brazzaville,8
9,Tokyo,9
10,Beijing,10
11,Washington D.C.,11
12,Ottawa,12
13,Abidjan,13
14,Rome,14
15,Brussels,15
16,Pyongyang,16
17,Suva,17
18,Canberra,18
19,Wellington,19
20,Moscow,20
21,London,20
22,Lisbon,20
23,New Delhi,21
24,Seoul,21
25,Johannesburg,22
26,Lagos,22
27,Mexico City,23
28,Havana,23
29,Santiago,24
30,Lima,24
31,Jakarta,25
32,Manila,25
33,Cairo,26
34,Casablanca,26
35,Port Moresby,27
36,Nukuʻalofa,27
37,Oslo,37
38,Stockholm,38
39,Helsinki,39
40,Tehran,40
41,Istanbul,41
42,Nairobi,42
43,Addis Ababa,43
44,Toronto,44
45,Mexico City,45
46,Bogotá,46
47,Quito,47
48,Port Moresby,48
49,Honiara,49
50,Conakry,50
51,Antananarivo,51
52,Guatemala City,52
53,San José,53
54,La Paz,54
55,Asunción,55
56,Nouméa,56
57,Apia,57
58,Dublin,58
59,Copenhagen,59
60,Amsterdam,60
61,Hanoi,61
62,Bangkok,62
63,Luanda,63
64,Harare,64
65,New York,65
66,Managua,66
67,Caracas,67
68,Georgetown,68
69,Suva,69
70,Port Vila,70
71,Freetown,71
72,Bamako,72
73,San Salvador,73
74,Tegucigalpa,74
75,Montevideo,75
76,Paramaribo,76
77,Port Moresby,77
78,South Tarawa,78
79,Oslo,79
80,Stockholm,80
81,Helsinki,81
82,Islamabad,82
83,Dhaka,83
84,Accra,84
85,Maputo,85
86,Mexico City,86
87,Panama City,87
88,La Paz,88
89,Georgetown,89
90,Honiara,90
91,Nukuʻalofa,91
92,Monrovia,92
93,Dodoma,93
94,San José,94
95,Guatemala City,95
96,Asunción,96
97,Quito,97
98,Sydney,98
99,Wellington,99
