id,first_name,last_name,place_of_birth,birthday,country_id,team_id,is_male
1,Jurgen,Klopp,14,1967-06-16,14,7,1
2,Diego,Simeone,15,1970-04-28,15,8,1
3,Carlo,Ancelotti,16,1959-06-10,16,9,1
4,Marcelo,Bielsa,17,1955-07-21,17,10,1
5,Maurizio,Sarri,18,1959-01-10,18,11,1
6,Ernesto,Valverde,19,1964-02-09,19,12,1
7,Arsene,Wenger,1,1949-10-22,1,13,1
8,Jose,Mourinho,2,1963-01-26,2,14,1
9,Antonio,Conte,3,1969-07-31,3,15,1
10,Ole,Gunnar Solskjaer,4,1973-02-26,4,16,1
11,Rafael,Benitez,5,1960-04-16,5,17,1
12,Brendan,Rodgers,6,1973-01-26,6,18,1
13,Frank,Lampard,7,1978-06-20,7,19,1
14,Mikel,Arteta,8,1982-03-26,8,20,1
15,Julian,Nagelsmann,9,1987-07-23,9,70,1
16,Gian Piero,Gasperini,10,1958-01-26,10,31,1
17,Erik,Ten Hag,11,1970-02-02,11,54,1
18,Rudi,Garcia,12,1964-12-20,12,61,1
21,Maximilian,Müller,13,1976-08-15,13,24,1
22,Alessandro,Rossi,14,1972-04-28,14,25,1
23,Sebastian,Wagner,15,1975-06-10,15,26,1
24,Andreas,Fischer,16,1970-07-21,16,27,1
25,Fabio,Romano,17,1973-01-10,17,28,1
26,Martin,Schmidt,18,1971-02-09,18,29,1
27,Christian,Weber,19,1978-10-22,19,30,1
28,Luca,Ricci,20,1976-03-26,20,31,1
29,Stefan,Mayer,21,1972-07-31,21,32,1
30,Anton,Becker,22,1975-02-26,22,33,1
31,Sophia,Schulz,23,1980-05-19,23,34,0
32,Hannah,Fischer,24,1982-09-14,24,35,0
33,Isabella,Müller,25,1979-06-25,25,36,0
34,Anna,Lehmann,26,1977-11-10,26,37,0
35,Lea,Schmidt,27,1981-12-02,27,38,0
36,Emilia,Hofmann,28,1983-08-17,28,39,0
37,Mia,Graf,29,1974-04-24,29,40,0
38,Lena,Wagner,30,1985-03-01,30,41,0
39,Clara,Keller,31,1976-07-29,31,42,0
40,Lara,Hartmann,32,1978-10-15,32,43,0
41,Hans,Müller,1,1968-05-19,1,1,1
42,Erik,Schmidt,2,1975-09-14,2,2,1
43,Andreas,Weber,3,1970-06-25,3,3,1
44,Martin,Fischer,4,1973-11-10,4,4,1
45,Christian,Wagner,5,1971-12-02,5,5,1
46,Sebastian,Hofmann,6,1973-08-17,6,6,1
47,Maximilian,Graf,7,1974-04-24,7,7,1
48,Alessandro,Wagner,8,1975-03-01,8,8,1
49,Fabio,Keller,9,1976-07-29,9,9,1
50,Luca,Hartmann,10,1978-10-15,10,10,1
51,Sophia,Lorenz,11,1980-05-25,11,11,0
52,Hannah,Bauer,12,1982-09-24,12,12,0
53,Isabella,Meyer,13,1979-06-30,13,13,0
54,Anna,Schneider,14,1977-11-15,14,14,0
55,Lea,Müller,15,1981-12-05,15,15,0
56,Emilia,Schulz,16,1983-08-18,16,16,0
57,Mia,Wagner,17,1974-04-25,17,17,0
58,Lena,Hofmann,18,1985-03-02,18,18,0
59,Clara,Graf,19,1976-07-30,19,19,0
60,Lara,Wagner,20,1978-10-16,20,20,0
61,Dominik,Fischer,1,1974-08-12,1,21,1
62,Simon,Mayer,2,1980-06-21,2,22,1
63,Julius,Becker,3,1976-05-28,3,23,1
64,Finn,Schneider,4,1982-04-15,4,24,1
65,Niklas,Hofmann,5,1978-09-09,5,25,1
66,Jonas,Koch,6,1985-03-06,6,26,1
67,Marius,Bauer,7,1979-11-19,7,27,1
68,Tim,Müller,8,1983-10-27,8,28,1
69,Jannik,Schmidt,9,1981-02-14,9,29,1
70,Fabian,Werner,10,1977-07-31,10,30,1
71,Lara,Becker,11,1984-12-10,11,31,0
72,Laura,Schneider,12,1980-08-25,12,32,0
73,Maja,Müller,13,1982-05-18,13,33,0
74,Sophie,Lehmann,14,1986-11-05,14,34,0
75,Emily,Meyer,15,1981-02-28,15,35,0
76,Lea,Hoffmann,16,1985-09-15,16,36,0
77,Lena,Schmitt,17,1983-06-20,17,37,0
78,Lina,Kaiser,18,1978-01-30,18,38,0
79,Julia,Schultz,19,1984-04-17,19,39,0
80,Marie,Mayer,20,1980-10-22,20,40,0
