id,first_name,last_name,place_of_birth,birthday,country_id,team_id,is_male
3,Michael,Johnson,22,1988-03-10,3,22,1
4,Emma,Garcia,23,1995-11-25,4,23,0
5,David,Martinez,24,1993-02-28,5,24,1
6,Sarah,Brown,25,1991-09-12,6,25,0
7,Thomas,Nguyen,26,1994-06-18,7,26,1
8,Sophia,Kim,27,1996-04-30,8,27,0
9,James,Lee,28,1989-07-08,9,28,1
10,Lily,Wang,29,1990-10-05,10,29,0
11,Matthew,White,30,1992-12-20,11,30,1
12,Emily,Taylor,31,1993-01-28,12,31,0
13,Daniel,Gomez,32,1994-08-17,13,32,1
14,Olivia,Martini,33,1995-06-22,14,33,0
15,Benjamin,Dupont,34,1991-04-11,15,34,1
16,Lucas,Kim,35,1990-09-08,16,35,1
17,Chloe,Johnson,36,1996-03-05,17,36,0
18,Sophie,Smith,37,1992-11-15,18,37,0
19,Noah,Brown,38,1993-07-02,19,38,1
20,Emma,Garcia,39,1992-04-16,20,39,0
21,Emma,Smith,2,1992-08-20,3,5,0
23,Eden,Hazard,24,1991-01-07,24,24,1
24,Sergio,Aguero,25,1988-06-02,25,25,1
25,Paulo,Dybala,26,1993-11-15,26,26,1
26,Mohamed,Salah,27,1992-06-15,27,27,1
27,Golo,Kante,28,1991-03-29,28,28,1
28,Luka,Modric,29,1985-09-09,29,29,1
29,Robert,Lewandowski,30,1988-08-21,30,30,1
30,Kylian,Ranieri,31,2001-12-20,31,31,1
31,Matthew,White,11,1992-12-20,11,11,1
32,Emily,Taylor,12,1993-01-28,12,12,0
33,Daniel,Gomez,13,1994-08-17,13,13,1
34,Olivia,Martini,14,1995-06-22,14,14,0
35,David,Martinez,5,1993-02-28,5,5,1
36,Lucas,Kim,16,1990-09-08,16,16,1
37,Chloe,Johnson,17,1996-03-05,17,17,0
38,Thiago,Silva,39,1984-09-22,39,39,1
39,Hector,Bellerin,40,1995-03-19,40,40,1
40,Cristiano,Ronaldo,41,1985-02-05,41,5,1
41,Lionel,Messi,42,1987-06-24,42,42,1
42,Samuel,Eto'o,43,1981-03-10,43,43,1
43,Ronaldinho,Gaúcho,44,1980-03-21,44,44,1
44,Maria,Garcia,4,1995-11-25,5,4,0
45,Benjamin,Dupont,15,1991-04-11,15,15,1
46,Sarah,Brown,6,1991-09-12,3,6,0
48,Kylian,Mbappe,49,1998-12-20,49,49,1
49,Virgil,van Dijk,50,1991-07-08,50,50,1
50,Alisson,Becker,51,1992-10-02,51,51,1
51,Lily,Wang,10,1990-10-05,10,10,0
57,Thomas,Nguyen,7,1994-06-18,7,7,1
58,Sophia,Kim,8,1996-04-30,8,8,0
63,Vinicius,Junior,34,2000-07-12,34,34,1
64,Luis,Suarez,35,1987-01-24,35,35,1
65,Hakim,Ziyech,36,1993-03-19,36,36,1
66,Sadio,Mane,37,1992-04-10,37,37,1
67,Gareth,Bale,38,1989-07-16,38,38,1
69,James,Lee,9,1989-07-08,9,9,1
71,Michael,Johnson,3,1988-03-10,1,3,1
73,Ederson,Moraes,52,1993-08-17,52,52,1
74,Raheem,Sterling,53,1994-12-08,53,53,1
75,Trent,Alexander-Arnold,54,1998-10-07,54,54,1
76,Marcus,Rashford,55,1997-10-31,55,55,1
77,Jadon,Sancho,56,2000-03-25,56,56,1
78,Sophie,Smith,18,1992-11-15,18,18,0
83,Son,Heung-Min,33,1992-07-08,33,33,1
93,David,Silva,23,1986-01-08,23,23,1
94,Zlatan,Ibrahimovic,22,1981-10-03,22,22,1
95,Andres,Iniesta,21,1984-05-11,21,21,1
105,Antoine,Griezmann,32,1991-03-21,32,32,1
108,Noah,Brown,19,1993-07-02,19,19,1
113,Neymar,Jr.,45,1992-02-05,45,45,1
114,Sergio,Ramos,46,1986-03-30,46,46,1
115,Kevin,De Bruyne,47,1991-06-28,47,47,1
116,Mohamed,Salah,48,1992-06-15,48,48,1
121,Erling,Haaland,57,2000-07-21,57,57,1
122,João,Félix,58,1999-11-10,58,58,1
123,Phil,Foden,59,2000-05-28,59,59,1
124,Alex,Morgan,61,1989-07-02,62,60,0
125,Cristiane,Rozeira,62,1985-05-15,63,61,0
126,Marta,Vieira,63,1986-02-19,64,62,0
127,Hope,Solo,64,1981-07-30,65,63,0
128,Carli,Lloyd,65,1982-07-16,66,64,0
129,Sam,Kerr,66,1993-09-10,67,65,0
130,Ada,Hegerberg,67,1995-07-10,68,66,0
131,Lieke,Martens,68,1992-12-16,69,67,0
132,Wendie,Renard,69,1990-07-20,70,68,0
